dataset	dataset_label	method	method_label	seed	run_name	params_total	params_trainable	method_params	param_kind	artifact_variant	artifact_dataset	artifact_seed	map_macro	map_L1	map_L2	map_L3	map_weighted	f1	macro_f1	acc	auc	macro_auc	loss	nll	ece	calibration_mode	precision	recall	kappa_quad	kappa_lin	balanced_acc	binary_f1	binary_auc
cam17	CAMELYON17	gated_post_attention	Gated SRP	44	classification_cam17_gated_post_attention_s44	7724833	7724833	1053	gate_params									0.719066011235955		0.8888888888888888	0.9727723069717371		0.25121984134588127	0.25121984069275277	0.0523192778969495	multiclass	0.7188492063492063	0.7236694677871148	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	gated_post_attention	Gated SRP	45	classification_cam17_gated_post_attention_s45	7724833	7724833	1053	gate_params									0.793786565547129		0.91	0.9720976240900704		0.3994998796656728	0.3994998753757336	0.07050851340480263	multiclass	0.8250503018108652	0.8144275911881546	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
cam17	CAMELYON17	gated_post_attention	Gated SRP	46	classification_cam17_gated_post_attention_s46	7724833	7724833	1053	gate_params									0.8602395947984183		0.92	0.9700098407572733		0.35462768136407247	0.3546276968214786	0.07579268012283308	multiclass	0.87404676619517	0.8576388888888888	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	baseline	NA	42	classification_kgh_baseline_s42	7723780	7723780	0	ab_params									0.8429894123289421		0.8433734939759037	0.9601248291166868		0.6129882392313624	0.6129882443156143	0.1328391500561947	multiclass	0.843782219777085	0.8434123720390029	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	baseline	NA	43	classification_kgh_baseline_s43	7723780	7723780	0	ab_params									0.7484357960213862		0.7650602409638554	0.9627492332940959		0.5337777903236179	0.5337777894015708	0.10054682890642404	multiclass	0.8019641955483138	0.7606732639170246	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	baseline	NA	44	classification_kgh_baseline_s44	7723780	7723780	0	ab_params									0.8306499213358602		0.8313253012048193	0.9599754118262435		0.6963760222908648	0.6963760171776777	0.12697312264676017	multiclass	0.8355792057955922	0.8315138562515194	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	baseline	NA	45	classification_kgh_baseline_s45	7723780	7723780	0	ab_params									0.848206074868405		0.8493975903614458	0.9713618774176703		0.4213133271648941	0.4213133323250525	0.08000326803337277	multiclass	0.8549010513296227	0.847744476406558	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	baseline	NA	46	classification_kgh_baseline_s46	7723780	7723780	0	ab_params									0.8784360328326112		0.8795180722891566	0.9782035605446076		0.3852777912881764	0.38527778706306415	0.0877615197082342	multiclass	0.8784360964239013	0.87856518245415	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	xsa_all_ref	XSA	42	classification_kgh_xsa_all_ref_s42	7723780	7723780	0	ab_params									0.8371251752208204		0.8373493975903614	0.9608162679461968		0.6574673968225616	0.6574673872341648	0.12682906253323123	multiclass	0.8374601858719839	0.8371691245982227	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
kgh	KGH	xsa_all_ref	XSA	43	classification_kgh_xsa_all_ref_s43	7723780	7723780	0	ab_params									0.835860154294467		0.8373493975903614	0.9598162523717457		0.5213005998780592	0.5213006003522018	0.09001151574228249	multiclass	0.8509031392095908	0.8346845204332443	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
