experiment	cohort	endpoint	method	arm	seed	split_mode	global_seed	beta	gate_hidden_dim	selection_status	best_epoch	val_case_c_index	val_slide_c_index	val_loss	test_case_c_index	test_slide_c_index	test_loss	test_n_cases	test_n_events	train_cases	val_cases	test_cases	run_name
survival_tasks	LUAD	OS	XSA	xsa_all_ref	46	global_seed_holdout	46			not_applicable	9	0.5528846153846154	0.530940594059406	2.7577367071428474	0.48011363636363635	0.565304755525787	3.8360130969605444	96	34	321	48	96	survival_luad_xsa_all_ref_s46
survival_tasks	LUAD	OS	Diff	diff_transformer	46	global_seed_holdout	46			not_applicable	1	0.6298076923076923	0.5445544554455446	1.981767342531032	0.5335227272727273	0.46249162759544543	1.9080240732541174	96	34	321	48	96	survival_luad_diff_transformer_s46
survival_tasks	STAD	OS	NA	baseline	42	global_seed_holdout	42	0	0	not_applicable	12	0.680306905370844	0.6867469879518072	2.918969535443466	0.6685358255451713	0.6666666666666666	2.6712281610985027	80	33	263	40	80	survival_stad_baseline_s42
survival_tasks	STAD	OS	XSA	xsa_all_ref	42	global_seed_holdout	42			not_applicable	13	0.6930946291560103	0.6939759036144578	3.412815200190553	0.6978193146417445	0.6981903093987157	2.993649594100397	80	33	263	40	80	survival_stad_xsa_all_ref_s42
survival_tasks	STAD	OS	Diff	diff_transformer	42	global_seed_holdout	42			not_applicable	11	0.659846547314578	0.672289156626506	3.1986115759251073	0.6878504672897197	0.6923525977816696	2.8728917649065577	80	33	263	40	80	survival_stad_diff_transformer_s42
survival_tasks	STAD	OS	NA	baseline	43	global_seed_holdout	43	0	0	not_applicable	9	0.7025	0.7014925373134329	2.5106694790248927	0.6372180451127819	0.6368547418967587	2.2525539378409682	80	33	263	40	80	survival_stad_baseline_s43
survival_tasks	STAD	OS	XSA	xsa_all_ref	43	global_seed_holdout	43			not_applicable	12	0.7225	0.7142857142857143	2.64913253462675	0.6372180451127819	0.6350540216086434	3.0176295619093296	80	33	263	40	80	survival_stad_xsa_all_ref_s43
survival_tasks	STAD	OS	Diff	diff_transformer	43	global_seed_holdout	43			not_applicable	8	0.6925	0.67590618336887	2.462004442143635	0.5889724310776943	0.5882352941176471	2.83460539135073	80	33	263	40	80	survival_stad_diff_transformer_s43
survival_tasks	STAD	OS	NA	baseline	44	global_seed_holdout	44	0	0	not_applicable	6	0.6886075949367089	0.6814159292035398	1.8828861379107937	0.594960049170252	0.5987963891675026	2.2088798435425825	80	33	263	40	80	survival_stad_baseline_s44
survival_tasks	STAD	OS	XSA	xsa_all_ref	44	global_seed_holdout	44			not_applicable	18	0.7215189873417721	0.7190265486725663	3.170370377125733	0.6213890596189305	0.6103309929789368	3.6997782178994876	80	33	263	40	80	survival_stad_xsa_all_ref_s44
survival_tasks	STAD	OS	Diff	diff_transformer	44	global_seed_holdout	44			not_applicable	15	0.6658227848101266	0.6703539823008849	2.729085311236748	0.5832821143208359	0.5707121364092277	3.494038374728855	80	33	263	40	80	survival_stad_diff_transformer_s44
survival_tasks	STAD	OS	NA	baseline	45	global_seed_holdout	45	0	0	not_applicable	14	0.6876574307304786	0.6934306569343066	2.9257008409313574	0.49748427672955975	0.5026968716289104	3.6304861689968257	80	33	263	40	80	survival_stad_baseline_s45
survival_tasks	STAD	OS	XSA	xsa_all_ref	45	global_seed_holdout	45			not_applicable	7	0.7204030226700252	0.7274939172749392	1.9413161702630133	0.4830188679245283	0.47950377562028046	2.2832125388955613	80	33	263	40	80	survival_stad_xsa_all_ref_s45
survival_tasks	STAD	OS	Diff	diff_transformer	45	global_seed_holdout	45			not_applicable	11	0.6624685138539043	0.6739659367396593	2.8067707873847767	0.5352201257861635	0.5204962243797195	3.0260190519148145	80	33	263	40	80	survival_stad_diff_transformer_s45
survival_tasks	STAD	OS	NA	baseline	46	global_seed_holdout	46	0	0	not_applicable	16	0.6217616580310881	0.6221662468513854	3.728797729395432	0.5568326947637292	0.5767543859649122	3.64165386302586	80	33	263	40	80	survival_stad_baseline_s46
survival_tasks	STAD	OS	XSA	xsa_all_ref	46	global_seed_holdout	46			not_applicable	16	0.5932642487046632	0.5944584382871536	4.279984458070852	0.5779054916985952	0.5910087719298246	3.651328186624471	80	33	263	40	80	survival_stad_xsa_all_ref_s46
survival_tasks	STAD	OS	Diff	diff_transformer	46	global_seed_holdout	46			not_applicable	3	0.5932642487046632	0.5944584382871536	2.076256715101985	0.5284163473818646	0.5370065789473685	2.030949386045465	80	33	263	40	80	survival_stad_diff_transformer_s46
survival_tasks	UCEC	OS	NA	baseline	42	global_seed_holdout	42	0	0	not_applicable	9	0.7941176470588235	0.7127659574468085	1.1642886793332374	0.6598360655737705	0.6627450980392157	1.1934343775983844	50	7	173	26	50	survival_ucec_baseline_s42
survival_tasks	UCEC	OS	XSA	xsa_all_ref	42	global_seed_holdout	42			not_applicable	5	0.8529411764705882	0.8617021276595744	1.0720436228917347	0.5409836065573771	0.5333333333333333	1.0764474014956957	50	7	173	26	50	survival_ucec_xsa_all_ref_s42
survival_tasks	UCEC	OS	Diff	diff_transformer	42	global_seed_holdout	42			not_applicable	16	0.7205882352941176	0.6063829787234043	1.622596696619699	0.5614754098360656	0.5607843137254902	1.127108152646677	50	7	173	26	50	survival_ucec_diff_transformer_s42
survival_tasks	UCEC	OS	NA	baseline	43	global_seed_holdout	43	0	0	not_applicable	1	0.75	0.7708333333333334	0.7469386753770684	0.6711711711711712	0.6323529411764706	0.8294369522394296	50	7	173	26	50	survival_ucec_baseline_s43
survival_tasks	UCEC	OS	XSA	xsa_all_ref	43	global_seed_holdout	43			not_applicable	13	0.7727272727272727	0.7708333333333334	1.014239478335467	0.6509009009009009	0.6121323529411765	1.1827442235585723	50	7	173	26	50	survival_ucec_xsa_all_ref_s43
survival_tasks	UCEC	OS	Diff	diff_transformer	43	global_seed_holdout	43			not_applicable	7	0.9090909090909091	0.9166666666666666	0.7949426512571116	0.7657657657657657	0.7169117647058824	1.051071180684716	50	7	173	26	50	survival_ucec_diff_transformer_s43
survival_tasks	UCEC	OS	NA	baseline	44	global_seed_holdout	44	0	0	not_applicable	2	0.7222222222222222	0.7383177570093458	0.9169470343077856	0.6525096525096525	0.6555555555555556	0.7736622977760047	50	7	173	26	50	survival_ucec_baseline_s44
survival_tasks	UCEC	OS	XSA	xsa_all_ref	44	global_seed_holdout	44			not_applicable	2	0.6805555555555556	0.719626168224299	0.91993840045536	0.6525096525096525	0.6481481481481481	0.7748367797511702	50	7	173	26	50	survival_ucec_xsa_all_ref_s44
survival_tasks	UCEC	OS	Diff	diff_transformer	44	global_seed_holdout	44			not_applicable	2	0.7361111111111112	0.6635514018691588	0.965954773143054	0.5907335907335908	0.6037037037037037	0.8246974940187871	50	7	173	26	50	survival_ucec_diff_transformer_s44
survival_tasks	UCEC	OS	NA	baseline	45	global_seed_holdout	45	0	0	not_applicable	6	0.9027777777777778	0.8083333333333333	0.7562612023523825	0.8092485549132948	0.7637130801687764	0.8828427568524992	50	7	173	26	50	survival_ucec_baseline_s45
survival_tasks	UCEC	OS	XSA	xsa_all_ref	45	global_seed_holdout	45			not_applicable	11	0.9027777777777778	0.775	1.2594023227213642	0.6011560693641619	0.5189873417721519	1.2619490923680132	50	7	173	26	50	survival_ucec_xsa_all_ref_s45
